Customer ID,Card Number,CVV,Expiry Date
1,5678 1234 5678 9876,125,12/25
2,1234 5678 9876 5432,123,11/24
3,1234 5678 9876 5431,125,11/24
4,1234 5678 9876 5433,125,01/24
5,1234 5678 9876 5431,124,11/24
6,1234 5678 9876 5432,123,11/24
7,1234 5678 9876 5432,123,12/24
8,1234 5678 9876 5433,123,12/25
9,1234 5678 9876 5433,123,11/24
10,1234 5678 9876 5432,123,01/24
11,1234 5678 9876 5433,125,01/24
12,1234 5678 9876 5432,126,12/24
13,1234 5678 9876 5433,125,11/24
14,1234 5678 9876 5433,123,11/24
15,1234 5678 9876 5433,124,12/24
16,5678 1234 5678 9876,124,01/24
17,1234 5678 9876 5431,125,12/24
18,1234 5678 9876 5432,126,01/24
19,1234 5678 9876 5433,124,12/24
20,1234 5678 9876 5433,123,01/24
21,1234 5678 9876 5431,125,12/25
22,1234 5678 9876 5431,123,12/25
23,1234 5678 9876 5432,126,12/24
24,1234 5678 9876 5431,124,01/24
25,5678 1234 5678 9876,123,12/24
26,1234 5678 9876 5431,123,01/24
27,5678 1234 5678 9876,124,11/24
28,1234 5678 9876 5431,125,11/24
29,1234 5678 9876 5432,126,12/24
30,1234 5678 9876 5432,123,01/24
31,1234 5678 9876 5433,123,12/25
32,1234 5678 9876 5431,124,12/24
33,1234 5678 9876 5432,123,11/24
34,1234 5678 9876 5432,124,11/24
35,1234 5678 9876 5433,124,01/24
36,1234 5678 9876 5432,124,11/24
37,1234 5678 9876 5432,123,12/25
38,1234 5678 9876 5431,125,12/25
39,5678 1234 5678 9876,126,11/24
40,5678 1234 5678 9876,123,11/24
41,1234 5678 9876 5433,125,12/24
42,1234 5678 9876 5432,126,12/25
43,1234 5678 9876 5433,125,11/24
44,5678 1234 5678 9876,123,12/25
45,1234 5678 9876 5432,125,12/25
46,1234 5678 9876 5431,123,12/25
47,1234 5678 9876 5433,123,01/24
48,1234 5678 9876 5431,125,01/24
49,1234 5678 9876 5432,125,12/25
50,1234 5678 9876 5431,124,01/24
51,1234 5678 9876 5431,126,11/24
52,1234 5678 9876 5433,124,01/24
53,1234 5678 9876 5433,125,12/24
54,1234 5678 9876 5432,126,11/24
55,1234 5678 9876 5433,124,12/25
56,1234 5678 9876 5431,124,01/24
57,1234 5678 9876 5433,123,01/24
58,1234 5678 9876 5431,124,01/24
59,1234 5678 9876 5433,123,01/24
60,1234 5678 9876 5433,126,12/25
61,1234 5678 9876 5433,123,01/24
62,5678 1234 5678 9876,125,11/24
63,1234 5678 9876 5431,126,01/24
64,1234 5678 9876 5433,126,01/24
65,1234 5678 9876 5433,123,01/24
66,1234 5678 9876 5431,125,12/25
67,1234 5678 9876 5432,124,12/24
68,1234 5678 9876 5432,123,12/25
69,1234 5678 9876 5432,124,12/24
70,1234 5678 9876 5432,126,01/24
71,5678 1234 5678 9876,123,12/24
72,1234 5678 9876 5432,123,12/25
73,1234 5678 9876 5433,124,11/24
74,1234 5678 9876 5431,123,11/24
75,1234 5678 9876 5432,126,12/24
76,1234 5678 9876 5433,126,12/24
77,1234 5678 9876 5431,124,11/24
78,1234 5678 9876 5431,125,12/24
79,1234 5678 9876 5433,123,11/24
80,1234 5678 9876 5433,126,01/24
81,1234 5678 9876 5431,124,01/24
82,1234 5678 9876 5433,124,12/25
83,1234 5678 9876 5432,123,11/24
84,1234 5678 9876 5431,126,12/25
85,1234 5678 9876 5432,123,12/24
86,1234 5678 9876 5433,123,12/25
87,1234 5678 9876 5432,124,12/25
88,5678 1234 5678 9876,123,12/24
89,1234 5678 9876 5433,126,11/24
90,1234 5678 9876 5431,124,01/24
91,1234 5678 9876 5431,124,11/24
92,1234 5678 9876 5431,126,12/24
93,5678 1234 5678 9876,124,11/24
94,1234 5678 9876 5433,124,01/24
95,1234 5678 9876 5433,124,12/24
96,1234 5678 9876 5433,123,01/24
97,1234 5678 9876 5431,126,01/24
98,1234 5678 9876 5432,123,11/24
99,1234 5678 9876 5432,124,12/25
100,1234 5678 9876 5431,124,11/24
